customerID;SeniorCitizen;Partner;Dependents;tenure;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;prediccion;probabilidad;decil
CC001_New;0;1;1;53;0;0;0;0;0;1;1;2;19.4;1110.35;0;0.014832646568506724;D10
CC002_New;0;0;0;27;1;1;1;2;2;2;0;4;59.45;1611.65;0;0.2143416043060161;D5
CC003_New;1;0;0;23;2;1;2;1;1;2;1;4;94.75;2293.6;0;0.4820672197901716;D2
CC004_New;0;0;0;69;1;2;2;2;2;1;1;0;81.5;5553.25;0;0.04905551086731547;D9
CC005_New;0;1;1;2;1;1;1;1;2;2;0;1;29.05;44.75;0;0.4311866559328807;D3
CC006_New;0;0;0;35;2;1;1;1;1;2;1;4;86.45;3029.1;0;0.46239446509681753;D3
CC007_New;0;1;0;46;1;2;2;1;2;0;0;2;70.6;3231.05;0;0.07749333085377884;D8
CC008_New;0;0;0;54;2;1;2;1;1;1;1;1;97.2;5129.45;0;0.14550088509585013;D7
CC009_New;0;1;0;56;2;1;2;1;1;0;1;4;98.25;5508.35;0;0.2261610668389093;D5
CC0010_New;0;1;0;9;2;1;1;2;1;2;1;1;75.75;655.9;1;0.5722965887853408;D2
CC0011_New;0;0;0;20;1;2;1;1;2;2;0;1;59.2;1191.2;0;0.19166301203236652;D6
CC0012_New;0;0;0;11;2;1;2;1;1;2;1;2;75.9;866.4;1;0.5652871831260723;D2
CC0013_New;1;1;0;30;2;1;2;1;1;2;1;4;90.05;2627.2;0;0.46977789233587997;D2
CC0014_New;0;1;0;68;1;2;2;2;1;1;0;1;70.95;4741.45;0;0.05263146828262686;D9
CC0015_New;1;1;0;38;2;1;2;2;1;2;1;4;102.6;4009.2;0;0.4498536258771753;D3
CC0016_New;1;1;0;17;2;2;1;2;1;2;1;1;85.35;1463.45;0;0.448475061665547;D3
CC0017_New;0;0;0;48;2;1;2;2;1;0;1;0;106.1;5082.8;0;0.192584361912213;D6
CC0018_New;0;0;0;1;1;1;1;1;1;2;0;4;43.8;43.8;0;0.4984189870543474;D2
CC0019_New;0;1;1;63;1;2;2;2;1;1;0;4;59.0;3707.6;0;0.06463630644279965;D8
